VF gene	VFO ID	Categor(y/ies)	Sub Categor(y/ies)
wzy_O103	3000290	unclassified	unclassified
flmA54	3000291	unclassified	unclassified
csbA	3000292	unclassified	unclassified
virK	3000294	unclassified	unclassified
papGIV	3000295	Adherence	P fimbriae
cswA	3000296	unclassified	unclassified
hra1-3	3000297	unclassified	unclassified
cvaC	3000298	unclassified	unclassified
mchF	3000299	unclassified	unclassified
ipaD	3000300	unclassified	unclassified
faeGad	3000301	Adherence	K88 fimbriae
z5138	3000302	Secretion system	LEE locus encoded TTSS
papA_8	3000303	Adherence	P fimbriae
invX	3000304	unclassified	unclassified
faeGab	3000305	Adherence	k88 fimbriae
neuC	3000306	unclassified	unclassified
mceA	3000307	unclassified	unclassified
mtfA	3000308	unclassified	unclassified
csvA	3000309	unclassified	unclassified
papGI	3000311	Adherence	P fimbriae
avian-hlyE	3000313	Toxin	Hemolysin/cytolysin A
mcbA	3000314	unclassified	unclassified
papA_15	3000315	Adherence	P fimbriae
kpsM-III	3000316	unclassified	unclassified
ycfZ	3000317	unclassified	unclassified
papGI2	3000318	Adherence	P fimbriae
afaE2	3000319	unclassified	unclassified
bmaE	3000320	unclassified	unclassified
rfbE	3000321	unclassified	unclassified
icsB	3000322	unclassified	unclassified
fotA	3000323	unclassified	unclassified
cdtB-3	3000324	Toxin	Cytolethal distending toxin
cseA	3000326	unclassified	unclassified
eltA	3000327	Toxin	Heat-labile enterotoxin
papA_9	3000328	Adherence	P fimbriae
ipaH	3000329	unclassified	unclassified
z5118	3000330	Secretion system	LEE locus encoded TTSS
etpD	3000331	unclassified	unclassified
papA_14	3000332	Adherence	P fimbriae
tibA	3000333	Autotransporter	AIDA-I type
etpA	3000334	Adherence	EtpA
drbE_121	3000335	unclassified	unclassified
rfbO101	3000337	unclassified	unclassified
papA_16	3000339	Adherence	P fimbriae
cia	3000340	unclassified	unclassified
wbdI	3000341	unclassified	unclassified
stx2fB	3000342	Toxin	Shiga-like toxin
ydcM	3000343	unclassified	unclassified
fedA	3000344	unclassified	unclassified
f17a-A	3000345	unclassified	unclassified
espB-2	3000346	Effector	Unclassified Effector
int	3000347	unclassified	unclassified
aafA	3000348	Adherence	AAF/II fimbriae
aggA	3000349	Adherence	AAF/III fimbriae
afaE3	3000350	unclassified	unclassified
wzx_O6	3000351	unclassified	unclassified
wzy_O55	3000352	unclassified	unclassified
espC	3000353	Autotransporter,Autotransporter	EspC,SPATE
afrA	3000354	unclassified	unclassified
ospE	3000355	unclassified	unclassified
cofA	3000357	unclassified	unclassified
nadAB	3000358	unclassified	unclassified
cdtB-2	3000359	Toxin	Cytolethal distending toxin
cotA	3000360	unclassified	unclassified
afr2G	3000361	unclassified	unclassified
z5102	3000362	Secretion system	LEE locus encoded TTSS
lpfAO113	3000364	unclassified	unclassified
z5143	3000365	Secretion system	LEE locus encoded TTSS
agg-3A	3000366	Adherence	AAF/III fimbriae
csfA	3000367	unclassified	unclassified
stx2B-2	3000368	Toxin	Shiga-like toxin
cadA	3000369	unclassified	unclassified
z5125	3000370	Secretion system	LEE locus encoded TTSS
cooA	3000371	unclassified	unclassified
daaE	3000372	unclassified	unclassified
eatA	3000373	unclassified	unclassified
yjaA	3000374	unclassified	unclassified
eCs4566	3000375	Secretion system	LEE locus encoded TTSS
iss2	3000376	unclassified	unclassified
f17d-A	3000377	unclassified	unclassified
afaE1	3000378	unclassified	unclassified
z5123	3000379	Secretion system	LEE locus encoded TTSS
cma	3000380	unclassified	unclassified
f17c-A	3000381	unclassified	unclassified
bfpA_beta	3000382	Adherence	Bundle forming pilus
sepA	3000383	unclassified	unclassified
senB	3000384	unclassified	unclassified
f17b-A	3000385	unclassified	unclassified
cei	3000387	unclassified	unclassified
virG	3000388	unclassified	unclassified
espA-3	3000389	Secretion system	LEE locus encoded TTSS
papA_10	3000391	Adherence	P fimbriae
mcjA	3000392	unclassified	unclassified
neuA	3000394	unclassified	unclassified
sTa	3000396	Toxin	Heat-stable enterotoxin 1 (EAST1)
papA_48	3000397	Adherence	P fimbriae
cS3	3000398	unclassified	unclassified
mclC	3000399	unclassified	unclassified
cS15	3000400	unclassified	unclassified
papA_40	3000401	Adherence	P fimbriae
ce1a	3000402	unclassified	unclassified
nfaA	3000403	unclassified	unclassified
gafD	3000404	unclassified	unclassified
caa	3000405	unclassified	unclassified
faeGac	3000406	Adherence	K88 fimbriae
nlpI	3000407	unclassified	unclassified
virA	3000408	unclassified	unclassified
lT-IIaB	3000410	unclassified	unclassified
cdtB-2/3	3000411	Toxin	Cytolethal distending toxin
csnA	3000412	unclassified	unclassified
z5139	3000413	Secretion system	LEE locus encoded TTSS
z5137	3000414	Secretion system	LEE locus encoded TTSS
clpG	3000415	unclassified	unclassified
leoA	3000416	unclassified	unclassified
sigA	3000417	unclassified	unclassified
fepC	3000418	unclassified	unclassified
nfaE111	3000419	unclassified	unclassified
drbE_122	3000420	unclassified	unclassified
katP	3000421	unclassified	unclassified
ospB	3000422	unclassified	unclassified
ipaC	3000423	unclassified	unclassified
ipaB	3000424	unclassified	unclassified
efa1/lifA	3000425	Non-LEE encoded TTSS effectors	LifA/Efa1
wzy_O26	3000426	unclassified	unclassified
fimF41A	3000427	Adherence	Type I fimbriae
wzy_O104	3000428	unclassified	unclassified
aidaI	3000429	Autotransporter	AIDA-I 
espO	3000430	Effector	Unclassified Effector
ompA	3000431	Invasion	Outer Membrane Protein
astA_2	3000432	Toxin	Heat-stable enterotoxin 1 (EAST1)
cfaB	3000433	Adherence	CFA/I fimbriae 
ipgD	3000434	unclassified	unclassified
afaE5	3000435	unclassified	unclassified
z5121	3000436	Secretion system	LEE locus encoded TTSS
lpfAR141	3000437	unclassified	unclassified
csuA	3000439	unclassified	unclassified
mtfS	3000440	unclassified	unclassified
pet	3000441	Autotransporter,Autotransporter	Pet,SPATE
espB-3	3000442	Effector	Unclassified Effector
ospF	3000443	unclassified	unclassified
ipgB2	3000444	unclassified	unclassified
stcE	3000445	Protease	Unclassified Protease
paa_ETEC	3000446	Adherence	Porcine attaching-effacing associated protein
ipgB1	3000448	unclassified	unclassified
cba	3000449	unclassified	unclassified
aap	3000450	Adherence	Dispersin 
wzy	3000451	unclassified	unclassified
fasA	3000452	unclassified	unclassified
nleA_EPEC	3000453	Non-LEE encoded TTSS effectors	NleA/EspI
shET1_set1	3000454	Toxin	Unclassified Toxin
colY	3000455	unclassified	unclassified
afaE7	3000456	unclassified	unclassified
wzy_O113	3000457	unclassified	unclassified
fanC	3000458	unclassified	unclassified
csdA	3000459	unclassified	unclassified
espM	3000461	Effector	Unclassified Effector
gadA	3000462	unclassified	unclassified
st	3000463	unclassified	unclassified
can	3000464	unclassified	unclassified
cssA	3000465	unclassified	unclassified
cka	3000466	unclassified	unclassified
pixA	3000467	unclassified	unclassified
espA-1	3000468	Secretion system	LEE locus encoded TTSS
cnf2	3000469	Toxin	Cytotoxic necrotizing factor
mchB	3000470	unclassified	unclassified
col5	3000472	unclassified	unclassified
cdtB-1	3000473	unclassified	unclassified
fedAac	3000474	unclassified	unclassified
aatA	3000475	Autotransporter,Autotransporter	AatA,AIDA-I type
csa	3000476	unclassified	unclassified
fliC	3000477	unclassified	unclassified
